,Population,zip code,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
17,12155,99006,4354.0,4.6,3.4,8.1,11.4,16.7,19.0,16.3,14.7,3.8,2.1
18,6169,99027,2390.0,6.4,5.3,10.6,10.3,13.2,16.9,13.3,16.4,5.6,1.9
19,731,99040,260.0,12.3,9.2,20.0,10.8,16.2,13.5,7.3,4.2,3.1,3.5
20,11046,98580,3974.0,7.0,2.2,10.3,9.3,9.4,25.0,11.3,15.1,7.3,3.1
21,36731,98584,13332.0,6.6,5.9,12.7,12.1,14.7,19.8,12.5,11.3,2.6,1.9
22,0,98154,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
23,21791,98028,8227.0,4.8,2.1,5.1,3.9,9.0,14.3,14.7,22.2,11.9,11.9
24,28359,98037,10326.0,5.3,2.9,9.1,7.7,14.4,19.1,13.2,17.5,7.4,3.3
25,3169,98039,1141.0,4.3,0.4,4.2,1.1,7.2,8.5,3.8,13.2,10.1,47.2
26,37217,98059,13408.0,2.7,1.4,4.4,5.8,9.0,15.4,13.1,23.2,12.6,12.3
27,46514,98105,15779.0,20.2,5.1,7.4,6.7,9.5,12.6,8.0,10.6,6.6,13.3
28,25906,98109,14729.0,4.3,0.2,3.6,5.4,9.7,15.6,17.4,21.2,12.1,10.6
29,27456,98146,9670.0,5.2,4.0,8.6,9.5,14.7,16.7,12.2,15.5,8.4,5.2
30,249,98647,151.0,19.2,6.0,33.8,6.6,4.0,9.3,6.0,9.9,5.3,0.0
31,510,98621,225.0,16.9,0.0,17.8,16.4,8.0,3.6,16.4,9.3,4.9,6.7
32,6846,98625,2485.0,5.4,3.3,5.6,8.0,16.4,21.0,11.0,19.4,6.1,3.7
33,24068,98626,9098.0,10.0,6.1,10.7,10.4,15.0,20.1,11.6,12.0,3.3,0.9
